Data;Valor;L;B;S;F;E;E%
20/08/2009;100737;0;0;0,9400821572451556061375404401;0;0;0
21/08/2009;102613;0;0;0,9564106398543838529787267535;0;0;0
24/08/2009;102557;0;0;0,9548969124158748186057646201;0;0;0
25/08/2009;102800;0;0;0,956273732425679484579620951;0;0;0
26/08/2009;102812;0;0;0,9553486517496729407190276074;0;0;0
27/08/2009;103098;0;0;0,9569352232319791493599733427;0;0;0
28/08/2009;102893;0;0;0,953987989503254813094332147;0;0;0
31/08/2009;102062;0;0;0,945185287321785685437296807;0;0;0
01/09/2009;99804;0;0;0,9230929547769379062455906402;0;0;0
02/09/2009;99475;0;0;0,9186439234465962384108134787;0;0;0
03/09/2009;100324;0;0;0,9251414122598481397394731552;0;0;0
04/09/2009;101640;0;0;0,935911027678927146146626061;0;0;0
08/09/2009;102539;0;0;0,942915101869664210808961735;0;0;0
09/09/2009;103337;0;0;0,9491802435448848348423743116;0;0;0
10/09/2009;104414;0;0;0,9579303161418973896127222511;0;0;0
11/09/2009;104273;0;0;0,9557219254386643843707812899;0;0;0
14/09/2009;104934;0;0;0,9610585498101249785406677116;0;0;0
15/09/2009;105263;0;0;0,9636557698432372231058810174;0;0;0
16/09/2009;106876;0;0;0,9779831677136347701320050138;0;0;0
17/09/2009;106549;0;0;0,9747589000505706349791237303;0;0;0
18/09/2009;106830;0;0;0,9770117161738641262011318854;0;0;0
21/09/2009;106466;0;0;0,9735222044614662319689747036;0;0;0
22/09/2009;107166;0;0;0,9798312993283872455546672058;0;0;0
23/09/2009;106087;0;0;0,9697931677118943877655183635;0;0;0
24/09/2009;105078;0;0;0,9601554114394807922620795357;0;0;0
25/09/2009;104438;0;0;0,9538570575266096874423464383;0;0;0
28/09/2009;106298;0;0;0,9706603831111452922390046825;0;0;0
29/09/2009;106061;0;0;0;0;0;0
30/09/2009;105708;0;0;0;0;0;0
01/10/2009;102985;0;0;0;0;0;0
02/10/2009;102521;0;0;0;0;0;0
05/10/2009;104046;0;0;0;0;0;0
06/10/2009;105472;0;0;0;0;0;0
07/10/2009;105758;0;0;0;0;0;0
08/10/2009;106548;0;0;0;0;0;0
09/10/2009;107149;0;0;0;0;0;0
12/10/2009;107619;0;0;0;0;0;0
13/10/2009;107319;0;0;0;0;0;0
14/10/2009;109202;0;0;0;0;0;0
15/10/2009;109656;0;0;0;0;0;0
16/10/2009;108768;0;0;0;0;0;0
19/10/2009;109791;0;0;0;0;0;0
20/10/2009;109106;0;0;0;0;0;0
21/10/2009;108140;0;0;0;0;0;0
22/10/2009;109291;0;0;0;0;0;0
23/10/2009;107960;0;0;0;0;0;0
26/10/2009;106695;0;0;0;0;0;0
27/10/2009;106341;0;0;0;0;0;0
28/10/2009;104263;0;0;0;0;0;0
29/10/2009;106611;0;0;0;0;0;0
30/10/2009;103619;0;0;0;0;0;0
02/11/2009;104288;0;0;0;0;0;0
03/11/2009;104541;0;0;0;0;0;0
04/11/2009;104650;0;0;0;0;0;0
05/11/2009;106663;0;0;0;0;0;0
06/11/2009;106930;0;0;0;0;0;0
09/11/2009;109308;0;0;0;0;0;0
10/11/2009;109301;0;0;0;0;0;0
11/11/2009;109851;0;0;0;0;0;0
12/11/2009;108724;0;0;0;0;0;0
13/11/2009;109348;0;0;0;0;0;0
16/11/2009;110930;0;0;0;0;0;0
17/11/2009;111032;0;0;0;0;0;0
18/11/2009;110980;0;0;0;0;0;0
19/11/2009;109490;0;0;0;0;0;0
20/11/2009;109138;0;0;0;0;0;0
23/11/2009;110624;0;0;0;0;0;0
24/11/2009;110565;0;0;0;0;0;0
25/11/2009;111063;0;0;0;0;0;0
27/11/2009;109149;0;0;0;0;0;0
30/11/2009;109563;0;0;0;0;0;0
01/12/2009;110886;0;0;0;0;0;0
02/12/2009;110924;0;0;0;0;0;0
03/12/2009;109992;0;0;0;0;0;0
04/12/2009;110598;0;0;0;0;0;0
07/12/2009;110325;0;0;0;0;0;0
08/12/2009;109194;0;0;0;0;0;0
09/12/2009;109595;0;0;0;0;0;0
10/12/2009;110235;0;0;0;0;0;0
11/12/2009;110641;0;0;0;0;0;0
14/12/2009;111411;0;0;0;0;0;0
15/12/2009;110793;0;0;0;0;0;0
16/12/2009;110918;0;0;0;0;0;0
17/12/2009;109608;0;0;0;0;0;0
18/12/2009;110247;0;0;0;0;0;0
21/12/2009;111405;0;0;0;0;0;0
22/12/2009;111802;0;0;0;0;0;0
23/12/2009;112059;0;0;0;0;0;0
24/12/2009;112648;0;0;0;0;0;0
28/12/2009;112778;0;0;0;0;0;0
29/12/2009;112620;0;0;0;0;0;0
30/12/2009;112642;0;0;0;0;0;0
31/12/2009;111510;0;0;0;0;0;0
04/01/2010;113299;0;0;0;0;0;0
05/01/2010;113652;0;0;0;0;0;0
06/01/2010;113714;0;0;0;0;0;0
07/01/2010;114169;0;0;0;0;0;0
08/01/2010;114498;0;0;0;0;0;0
11/01/2010;114698;0;0;0;0;0;0
12/01/2010;113622;0;0;0;0;0;0
13/01/2010;114568;0;0;0;0;0;0
14/01/2010;114846;0;0;0;0;0;0
15/01/2010;113603;0;0;0;0;0;0
19/01/2010;115023;0;0;0;0;0;0
20/01/2010;113804;0;0;0;0;0;0
21/01/2010;111648;0;0;0;0;0;0
22/01/2010;109176;0;0;0;0;0;0
25/01/2010;109678;0;0;0;0;0;0
26/01/2010;109217;0;0;0;0;0;0
27/01/2010;109750;0;0;0;0;0;0
28/01/2010;108453;0;0;0;0;0;0
29/01/2010;107387;0;0;0;0;0;0
01/02/2010;108919;0;0;0;0;0;0
02/02/2010;110332;0;0;0;0;0;0
03/02/2010;109728;0;0;0;0;0;0
04/02/2010;106311;0;0;0;0;0;0
05/02/2010;106619;0;0;0;0;0;0
08/02/2010;105674;0;0;0;0;0;0
09/02/2010;107052;0;0;0;0;0;0
10/02/2010;106813;0;0;0;0;0;0
11/02/2010;107847;0;0;0;0;0;0
12/02/2010;107551;0;0;0;0;0;0
16/02/2010;109487;0;0;0;0;0;0
17/02/2010;109951;0;0;0;0;0;0
18/02/2010;110675;0;0;0;0;0;0
19/02/2010;110917;0;0;0;0;0;0
22/02/2010;110801;0;0;0;0;0;0
23/02/2010;109460;0;0;0;0;0;0
24/02/2010;110524;0;0;0;0;0;0
25/02/2010;110294;0;0;0;0;0;0
26/02/2010;110449;0;0;0;0;0;0
01/03/2010;111571;0;0;0;0;0;0
02/03/2010;111831;0;0;0;0;0;0
03/03/2010;111879;0;0;0;0;0;0
04/03/2010;112297;0;0;0;0;0;0
05/03/2010;113870;0;0;0;0;0;0
08/03/2010;113850;0;0;0;0;0;0
09/03/2010;114045;0;0;0;0;0;0
10/03/2010;114561;0;0;0;0;0;0
11/03/2010;115024;0;0;0;0;0;0
12/03/2010;114999;0;0;0;0;0;0
15/03/2010;115051;0;0;0;0;0;0
16/03/2010;115946;0;0;0;0;0;0
17/03/2010;116621;0;0;0;0;0;0
18/03/2010;116583;0;0;0;0;0;0
19/03/2010;115990;0;0;0;0;0;0
22/03/2010;116581;0;0;0;0;0;0
23/03/2010;117417;0;0;0;0;0;0
24/03/2010;116772;0;0;0;0;0;0
25/03/2010;116573;0;0;0;0;0;0
26/03/2010;116659;0;0;0;0;0;0
29/03/2010;117322;0;0;0;0;0;0
30/03/2010;117327;0;0;0;0;0;0
31/03/2010;116943;0;0;0;0;0;0
01/04/2010;117810;0;0;0;0;0;0
05/04/2010;118744;0;0;0;0;0;0
06/04/2010;118944;0;0;0;0;0;0
07/04/2010;118245;0;0;0;0;0;0
08/04/2010;118644;0;0;0;0;0;0
09/04/2010;119437;0;0;0;0;0;0
12/04/2010;119648;0;0;0;0;0;0
13/04/2010;119730;0;0;0;0;0;0
14/04/2010;121065;0;0;0;0;0;0
15/04/2010;121167;0;0;0;0;0;0
16/04/2010;119213;0;0;0;0;0;0
19/04/2010;119752;0;0;0;0;0;0
20/04/2010;120717;0;0;0;0;0;0
21/04/2010;120594;0;0;0;0;0;0
22/04/2010;120867;0;0;0;0;0;0
23/04/2010;121728;0;0;0;0;0;0
26/04/2010;121205;0;0;0;0;0;0
27/04/2010;118371;0;0;0;0;0;0
28/04/2010;119136;0;0;0;0;0;0
29/04/2010;120678;0;0;0;0;0;0
30/04/2010;118669;0;0;0;0;0;0
03/05/2010;120226;0;0;0;0;0;0
04/05/2010;117360;0;0;0;0;0;0
05/05/2010;116587;0;0;0;0;0;0
06/05/2010;112815;0;0;0;0;0;0
07/05/2010;111088;0;0;0;0;0;0
10/05/2010;115973;0;0;0;0;0;0
11/05/2010;115579;0;0;0;0;0;0
12/05/2010;117167;0;0;0;0;0;0
13/05/2010;115744;0;0;0;0;0;0
14/05/2010;113568;0;0;0;0;0;0
17/05/2010;113694;0;0;0;0;0;0
18/05/2010;112080;0;0;0;0;0;0
19/05/2010;111505;0;0;0;0;0;0
20/05/2010;107159;0;0;0;0;0;0
21/05/2010;108769;0;0;0;0;0;0
24/05/2010;107365;0;0;0;0;0;0
25/05/2010;107403;0;0;0;0;0;0
26/05/2010;106795;0;0;0;0;0;0
27/05/2010;110306;0;0;0;0;0;0
28/05/2010;108941;0;0;0;0;0;0
01/06/2010;107071;0;0;0;0;0;0
02/06/2010;109838;0;0;0;0;0;0
03/06/2010;110283;0;0;0;0;0;0
04/06/2010;106488;0;0;0;0;0;0
07/06/2010;105047;0;0;0;0;0;0
08/06/2010;106200;0;0;0;0;0;0
09/06/2010;105569;0;0;0;0;0;0
10/06/2010;108684;0;0;0;0;0;0
11/06/2010;109160;0;0;0;0;0;0
14/06/2010;108963;0;0;0;0;0;0
15/06/2010;111523;0;0;0;0;0;0
16/06/2010;111461;0;0;0;0;0;0
17/06/2010;111604;0;0;0;0;0;0
18/06/2010;111751;0;0;0;0;0;0
21/06/2010;111320;0;0;0;0;0;0
22/06/2010;109531;0;0;0;0;0;0
23/06/2010;109204;0;0;0;0;0;0
24/06/2010;107369;0;0;0;0;0;0
25/06/2010;107676;0;0;0;0;0;0
28/06/2010;107457;0;0;0;0;0;0
29/06/2010;104124;0;0;0;0;0;0
30/06/2010;103071;0;0;0;0;0;0
01/07/2010;102737;0;0;0;0;0;0
02/07/2010;102258;0;0;0;0;0;0
06/07/2010;102806;0;0;0;0;0;0
07/07/2010;106027;0;0;0;0;0;0
08/07/2010;107025;0;0;0;0;0;0
09/07/2010;107796;0;0;0;0;0;0
12/07/2010;107875;0;0;0;0;0;0
13/07/2010;109534;0;0;0;0;0;0
14/07/2010;109517;0;0;0;0;0;0
15/07/2010;109648;0;0;0;0;0;0
16/07/2010;106488;0;0;0;0;0;0
19/07/2010;107125;0;0;0;0;0;0
20/07/2010;108348;0;0;0;0;0;0
21/07/2010;106959;0;0;0;0;0;0
22/07/2010;109367;0;0;0;0;0;0
23/07/2010;110266;0;0;0;0;0;0
26/07/2010;111501;0;0;0;0;0;0
27/07/2010;111384;0;0;0;0;0;0
28/07/2010;110613;0;0;0;0;0;0
29/07/2010;110153;0;0;0;0;0;0
30/07/2010;110160;0;0;0;0;0;0
02/08/2010;112586;0;0;0;0;0;0
03/08/2010;112046;0;0;0;0;0;0
04/08/2010;112724;0;0;0;0;0;0
05/08/2010;112581;0;0;0;0;0;0
06/08/2010;112164;0;0;0;0;0;0
09/08/2010;112779;0;0;0;0;0;0
10/08/2010;112106;0;0;0;0;0;0
11/08/2010;108947;0;0;0;0;0;0
12/08/2010;108361;0;0;0;0;0;0
13/08/2010;107925;0;0;0;0;0;0
16/08/2010;107938;0;0;0;0;0;0
17/08/2010;109254;0;0;0;0;0;0
18/08/2010;109416;0;0;0;0;0;0
19/08/2010;107563;0;0;0;0;0;0
20/08/2010;107169;0;0;0;0;0;0
23/08/2010;106736;0;0;0;0;0;0
24/08/2010;105187;0;0;0;0;0;0
25/08/2010;105533;0;0;0;0;0;0
26/08/2010;104722;0;0;0;0;0;0
27/08/2010;106459;0;0;0;0;0;0
30/08/2010;104892;0;0;0;0;0;0
31/08/2010;104933;0;0;0;0;0;0
01/09/2010;108029;0;0;0;0;0;0
02/09/2010;109010;0;0;0;0;0;0
03/09/2010;110451;0;0;0;0;0;0
07/09/2010;109184;0;0;0;0;0;0
08/09/2010;109887;0;0;0;0;0;0
09/09/2010;110418;0;0;0;0;0;0
10/09/2010;110955;0;0;0;0;0;0
13/09/2010;112190;0;0;0;0;0;0
14/09/2010;112110;0;0;0;0;0;0
15/09/2010;112507;0;0;0;0;0;0
16/09/2010;112466;0;0;0;0;0;0
17/09/2010;112559;0;0;0;0;0;0
20/09/2010;114271;0;0;0;0;0;0
21/09/2010;113978;0;0;0;0;0;0
22/09/2010;113428;0;0;0;0;0;0
23/09/2010;112483;0;0;0;0;0;0
24/09/2010;114867;0;0;0;0;0;0
27/09/2010;114216;0;0;0;0;0;0
28/09/2010;114770;0;0;0;0;0;0
29/09/2010;114473;0;0;0;0;0;0
30/09/2010;114120;0;0;0;0;0;0
01/10/2010;114624;0;0;0;0;0;0
04/10/2010;113703;0;0;0;0;0;0
05/10/2010;116075;0;0;0;0;0;0
06/10/2010;115997;0;0;0;0;0;0
07/10/2010;115806;0;0;0;0;0;0
08/10/2010;116515;0;0;0;0;0;0
11/10/2010;116532;0;0;0;0;0;0
12/10/2010;116977;0;0;0;0;0;0
13/10/2010;117810;0;0;0;0;0;0
14/10/2010;117381;0;0;0;0;0;0
15/10/2010;117619;0;0;0;0;0;0
18/10/2010;118471;0;0;0;0;0;0
19/10/2010;116590;0;0;0;0;0;0
20/10/2010;117817;0;0;0;0;0;0
21/10/2010;118026;0;0;0;0;0;0
22/10/2010;118308;0;0;0;0;0;0
25/10/2010;118562;0;0;0;0;0;0
26/10/2010;118564;0;0;0;0;0;0
27/10/2010;118245;0;0;0;0;0;0
28/10/2010;118378;0;0;0;0;0;0
29/10/2010;118326;0;0;0;0;0;0
01/11/2010;118438;0;0;0;0;0;0
02/11/2010;119357;0;0;0;0;0;0
03/11/2010;119796;0;0;0;0;0;0
04/11/2010;122106;0;0;0;0;0;0
05/11/2010;122585;0;0;0;0;0;0
08/11/2010;122325;0;0;0;0;0;0
09/11/2010;121340;0;0;0;0;0;0
10/11/2010;121871;0;0;0;0;0;0
11/11/2010;121354;0;0;0;0;0;0
12/11/2010;119921;0;0;0;0;0;0
15/11/2010;119775;0;0;0;0;0;0
16/11/2010;117834;0;0;0;0;0;0
17/11/2010;117859;0;0;0;0;0;0
18/11/2010;119669;0;0;0;0;0;0
19/11/2010;119973;0;0;0;0;0;0
22/11/2010;119784;0;0;0;0;0;0
23/11/2010;118073;0;0;0;0;0;0
24/11/2010;119835;0;0;0;0;0;0
26/11/2010;118940;0;0;0;0;0;0
29/11/2010;118776;0;0;0;0;0;0
30/11/2010;118055;0;0;0;0;0;0
01/12/2010;120607;0;0;0;0;0;0
02/12/2010;122153;0;0;0;0;0;0
03/12/2010;122471;0;0;0;0;0;0
06/12/2010;122312;0;0;0;0;0;0
07/12/2010;122375;0;0;0;0;0;0
08/12/2010;122828;0;0;0;0;0;0
09/12/2010;123300;0;0;0;0;0;0
10/12/2010;124040;0;0;0;0;0;0
13/12/2010;124046;0;0;0;0;0;0
14/12/2010;124159;0;0;0;0;0;0
15/12/2010;123523;0;0;0;0;0;0
16/12/2010;124287;0;0;0;0;0;0
17/12/2010;124391;0;0;0;0;0;0
20/12/2010;124708;0;0;0;0;0;0
21/12/2010;125460;0;0;0;0;0;0
22/12/2010;125884;0;0;0;0;0;0
23/12/2010;125677;0;0;0;0;0;0
27/12/2010;125754;0;0;0;0;0;0
28/12/2010;125851;0;0;0;0;0;0
29/12/2010;125978;0;0;0;0;0;0
30/12/2010;125788;0;0;0;0;0;0
31/12/2010;125764;0;0;0;0;0;0
03/01/2011;127187;0;0;0;0;0;0
04/01/2011;127020;0;0;0;0;0;0
05/01/2011;127656;0;0;0;0;0;0
06/01/2011;127385;0;0;0;0;0;0
07/01/2011;127150;0;0;0;0;0;0
10/01/2011;126975;0;0;0;0;0;0
11/01/2011;127448;0;0;0;0;0;0
12/01/2011;128596;0;0;0;0;0;0
13/01/2011;128376;0;0;0;0;0;0
14/01/2011;129324;0;0;0;0;0;0
18/01/2011;129502;0;0;0;0;0;0
19/01/2011;128192;0;0;0;0;0;0
20/01/2011;128026;0;0;0;0;0;0
21/01/2011;128335;0;0;0;0;0;0
24/01/2011;129084;0;0;0;0;0;0
25/01/2011;129118;0;0;0;0;0;0
26/01/2011;129663;0;0;0;0;0;0
27/01/2011;129954;0;0;0;0;0;0
28/01/2011;127634;0;0;0;0;0;0
31/01/2011;128612;0;0;0;0;0;0
01/02/2011;130759;0;0;0;0;0;0
02/02/2011;130403;0;0;0;0;0;0
03/02/2011;130710;0;0;0;0;0;0
04/02/2011;131087;0;0;0;0;0;0
07/02/2011;131905;0;0;0;0;0;0
08/02/2011;132457;0;0;0;0;0;0
09/02/2011;132088;0;0;0;0;0;0
10/02/2011;132187;0;0;0;0;0;0
11/02/2011;132915;0;0;0;0;0;0
14/02/2011;133232;0;0;0;0;0;0
15/02/2011;132801;0;0;0;0;0;0
16/02/2011;133632;0;0;0;0;0;0
18/02/2011;134301;0;0;0;0;0;0
22/02/2011;131544;0;0;0;0;0;0
23/02/2011;130740;0;0;0;0;0;0
24/02/2011;130610;0;0;0;0;0;0
25/02/2011;131988;0;0;0;0;0;0
28/02/2011;132722;0;0;0;0;0;0
01/03/2011;130633;0;0;0;0;0;0
02/03/2011;130844;0;0;0;0;0;0
03/03/2011;133097;0;0;0;0;0;0
04/03/2011;132115;0;0;0;0;0;0
07/03/2011;131013;0;0;0;0;0;0
08/03/2011;132182;0;0;0;0;0;0
09/03/2011;132002;0;0;0;0;0;0
10/03/2011;129511;0;0;0;0;0;0
11/03/2011;130428;0;0;0;0;0;0
14/03/2011;129639;0;0;0;0;0;0
15/03/2011;128187;0;0;0;0;0;0
16/03/2011;125688;0;0;0;0;0;0
17/03/2011;127372;0;0;0;0;0;0
18/03/2011;127921;0;0;0;0;0;0
21/03/2011;129838;0;0;0;0;0;0
22/03/2011;129377;0;0;0;0;0;0
23/03/2011;129754;0;0;0;0;0;0
24/03/2011;130966;0;0;0;0;0;0
25/03/2011;131380;0;0;0;0;0;0
28/03/2011;131019;0;0;0;0;0;0
29/03/2011;131944;0;0;0;0;0;0
30/03/2011;132826;0;0;0;0;0;0
31/03/2011;132583;0;0;0;0;0;0
01/04/2011;133241;0;0;0;0;0;0
04/04/2011;133287;0;0;0;0;0;0
05/04/2011;133263;0;0;0;0;0;0
06/04/2011;133554;0;0;0;0;0;0
07/04/2011;133351;0;0;0;0;0;0
08/04/2011;132817;0;0;0;0;0;0
11/04/2011;132446;0;0;0;0;0;0
12/04/2011;131416;0;0;0;0;0;0
13/04/2011;131441;0;0;0;0;0;0
14/04/2011;131452;0;0;0;0;0;0
15/04/2011;131968;0;0;0;0;0;0
18/04/2011;130514;0;0;0;0;0;0
19/04/2011;131262;0;0;0;0;0;0
20/04/2011;133036;0;0;0;0;0;0
21/04/2011;133738;0;0;0;0;0;0
25/04/2011;133525;0;0;0;0;0;0
26/04/2011;134724;0;0;0;0;0;0
27/04/2011;135566;0;0;0;0;0;0
28/04/2011;136048;0;0;0;0;0;0
29/04/2011;136361;0;0;0;0;0;0
02/05/2011;136122;0;0;0;0;0;0
03/05/2011;135662;0;0;0;0;0;0
04/05/2011;134732;0;0;0;0;0;0
05/05/2011;133510;0;0;0;0;0;0
06/05/2011;134020;0;0;0;0;0;0
09/05/2011;134629;0;0;0;0;0;0
10/05/2011;135716;0;0;0;0;0;0
11/05/2011;134208;0;0;0;0;0;0
12/05/2011;134865;0;0;0;0;0;0
13/05/2011;133777;0;0;0;0;0;0
16/05/2011;132947;0;0;0;0;0;0
17/05/2011;132898;0;0;0;0;0;0
18/05/2011;134068;0;0;0;0;0;0
19/05/2011;134360;0;0;0;0;0;0
20/05/2011;133327;0;0;0;0;0;0
23/05/2011;131737;0;0;0;0;0;0
24/05/2011;131628;0;0;0;0;0;0
25/05/2011;132047;0;0;0;0;0;0
26/05/2011;132569;0;0;0;0;0;0
27/05/2011;133110;0;0;0;0;0;0
31/05/2011;134520;0;0;0;0;0;0
01/06/2011;131455;0;0;0;0;0;0
02/06/2011;131294;0;0;0;0;0;0
03/06/2011;130016;0;0;0;0;0;0
06/06/2011;128617;0;0;0;0;0;0
07/06/2011;128494;0;0;0;0;0;0
08/06/2011;127956;0;0;0;0;0;0
09/06/2011;128900;0;0;0;0;0;0
10/06/2011;127098;0;0;0;0;0;0
13/06/2011;127183;0;0;0;0;0;0
14/06/2011;128787;0;0;0;0;0;0
15/06/2011;126542;0;0;0;0;0;0
16/06/2011;126764;0;0;0;0;0;0
17/06/2011;127150;0;0;0;0;0;0
20/06/2011;127836;0;0;0;0;0;0
21/06/2011;129552;0;0;0;0;0;0
22/06/2011;128714;0;0;0;0;0;0
23/06/2011;128350;0;0;0;0;0;0
24/06/2011;126845;0;0;0;0;0;0
27/06/2011;128010;0;0;0;0;0;0
28/06/2011;129667;0;0;0;0;0;0
29/06/2011;130741;0;0;0;0;0;0
30/06/2011;132064;0;0;0;0;0;0
01/07/2011;133967;0;0;0;0;0;0
05/07/2011;133788;0;0;0;0;0;0
06/07/2011;133922;0;0;0;0;0;0
07/07/2011;135322;0;0;0;0;0;0
08/07/2011;134380;0;0;0;0;0;0
11/07/2011;131949;0;0;0;0;0;0
12/07/2011;131364;0;0;0;0;0;0
13/07/2011;131772;0;0;0;0;0;0
14/07/2011;130887;0;0;0;0;0;0
15/07/2011;131614;0;0;0;0;0;0
18/07/2011;130544;0;0;0;0;0;0
19/07/2011;132673;0;0;0;0;0;0
20/07/2011;132584;0;0;0;0;0;0
21/07/2011;134380;0;0;0;0;0;0
22/07/2011;134502;0;0;0;0;0;0
25/07/2011;133743;0;0;0;0;0;0
26/07/2011;133194;0;0;0;0;0;0
27/07/2011;130489;0;0;0;0;0;0
28/07/2011;130067;0;0;0;0;0;0
29/07/2011;129228;0;0;0;0;0;0
01/08/2011;128694;0;0;0;0;0;0
02/08/2011;125405;0;0;0;0;0;0
03/08/2011;126034;0;0;0;0;0;0
04/08/2011;120007;0;0;0;0;0;0
05/08/2011;119938;0;0;0;0;0;0
08/08/2011;111946;0;0;0;0;0;0
09/08/2011;117253;0;0;0;0;0;0
10/08/2011;112076;0;0;0;0;0;0
11/08/2011;117264;0;0;0;0;0;0
12/08/2011;117881;0;0;0;0;0;0
15/08/2011;120449;0;0;0;0;0;0
16/08/2011;119276;0;0;0;0;0;0
17/08/2011;119389;0;0;0;0;0;0
18/08/2011;114065;0;0;0;0;0;0
19/08/2011;112353;0;0;0;0;0;0
22/08/2011;112382;0;0;0;0;0;0
23/08/2011;116235;0;0;0;0;0;0
24/08/2011;117760;0;0;0;0;0;0
25/08/2011;115927;0;0;0;0;0;0
26/08/2011;117680;0;0;0;0;0;0
29/08/2011;121008;0;0;0;0;0;0
30/08/2011;121292;0;0;0;0;0;0
31/08/2011;121889;0;0;0;0;0;0
01/09/2011;120442;0;0;0;0;0;0
02/09/2011;117397;0;0;0;0;0;0
06/09/2011;116524;0;0;0;0;0;0
07/09/2011;119862;0;0;0;0;0;0
08/09/2011;118590;0;0;0;0;0;0
09/09/2011;115423;0;0;0;0;0;0
12/09/2011;116227;0;0;0;0;0;0
13/09/2011;117287;0;0;0;0;0;0
14/09/2011;118868;0;0;0;0;0;0
15/09/2011;120911;0;0;0;0;0;0
16/09/2011;121601;0;0;0;0;0;0
19/09/2011;120409;0;0;0;0;0;0
20/09/2011;120209;0;0;0;0;0;0
21/09/2011;116676;0;0;0;0;0;0
22/09/2011;112956;0;0;0;0;0;0
